image,text
../../datasets/FIDStyles/style0/A large kitchen with granite counter tops and greenery..jpg,A large kitchen with granite counter tops and greenery.
"../../datasets/FIDStyles/style0/a red, white and black boat tied to a dock.jpg","a red, white and black boat tied to a dock"
../../datasets/FIDStyles/style0/Two giraffes in their enclosure in a zoo look around..jpg,Two giraffes in their enclosure in a zoo look around.
../../datasets/FIDStyles/style0/A plate of food on a dining table..jpg,A plate of food on a dining table.
../../datasets/FIDStyles/style0/A pot of flowers soak up the sun near the window..jpg,A pot of flowers soak up the sun near the window.
../../datasets/FIDStyles/style0/The people are wearing coats and snow pants to ski around the area..jpg,The people are wearing coats and snow pants to ski around the area.
../../datasets/FIDStyles/style0/A modern residential bathroom with a circular shower stall..jpg,A modern residential bathroom with a circular shower stall.
../../datasets/FIDStyles/style0/A motorcycle parked behind a man riding  a motorcycle..jpg,A motorcycle parked behind a man riding  a motorcycle.
../../datasets/FIDStyles/style0/A woman laying on the floor by a laptop..jpg,A woman laying on the floor by a laptop.
../../datasets/FIDStyles/style0/A stylish wooden Christmas tree stand displays several ornaments.jpg,A stylish wooden Christmas tree stand displays several ornaments
../../datasets/FIDStyles/style0/A banana tree that has bananas and a plant on it..jpg,A banana tree that has bananas and a plant on it.
../../datasets/FIDStyles/style0/A group of sheep eating grass on a very sunny day..jpg,A group of sheep eating grass on a very sunny day.
../../datasets/FIDStyles/style0/a child walking in a mess with books that he made.jpg,a child walking in a mess with books that he made
../../datasets/FIDStyles/style0/A walkway alongside a train which appears to be stopped at the station..jpg,A walkway alongside a train which appears to be stopped at the station.
../../datasets/FIDStyles/style0/A sandwich with many ingredients sits on a plate.jpg,A sandwich with many ingredients sits on a plate
../../datasets/FIDStyles/style0/A group of people around the television watching the Wii..jpg,A group of people around the television watching the Wii.
"../../datasets/FIDStyles/style0/A sandwich has a knife sticking out of it, along with other food and drinks..jpg","A sandwich has a knife sticking out of it, along with other food and drinks."
../../datasets/FIDStyles/style0/A person riding on an elephant playing with a ball.jpg,A person riding on an elephant playing with a ball
../../datasets/FIDStyles/style0/a car stopped with a person walking across the street.jpg,a car stopped with a person walking across the street
../../datasets/FIDStyles/style0/Two men on  a bust street using their phones..jpg,Two men on  a bust street using their phones.
../../datasets/FIDStyles/style0/Two children holding Wii remotes next to a projector.jpg,Two children holding Wii remotes next to a projector
../../datasets/FIDStyles/style0/A two story commuter bus driving down a city street..jpg,A two story commuter bus driving down a city street.
../../datasets/FIDStyles/style0/Guy squatting down on his surfboard out in the water.jpg,Guy squatting down on his surfboard out in the water
../../datasets/FIDStyles/style0/A bull and two calves block a vehicle from going down a road..jpg,A bull and two calves block a vehicle from going down a road.
../../datasets/FIDStyles/style0/some surfers and body boarders in the water.jpg,some surfers and body boarders in the water
../../datasets/FIDStyles/style0/A teenager witting on a futon couch holding gaming controls in both hands..jpg,A teenager witting on a futon couch holding gaming controls in both hands.
"../../datasets/FIDStyles/style0/A collage of cats, cows, and goats in grassy areas..jpg","A collage of cats, cows, and goats in grassy areas."
../../datasets/FIDStyles/style0/On this picnic table in front of a lake there is plate with toast and jam and a mug..jpg,On this picnic table in front of a lake there is plate with toast and jam and a mug.
../../datasets/FIDStyles/style0/A red double decker bus is seen in London..jpg,A red double decker bus is seen in London.
../../datasets/FIDStyles/style0/a man in a suit is walking across a bridge.jpg,a man in a suit is walking across a bridge
../../datasets/FIDStyles/style0/A group of people shopping at a market filled with fruit..jpg,A group of people shopping at a market filled with fruit.
../../datasets/FIDStyles/style0/a surfer catching a wave on a surf board.jpg,a surfer catching a wave on a surf board
../../datasets/FIDStyles/style0/A man in a top hat and tie counts money at a table..jpg,A man in a top hat and tie counts money at a table.
../../datasets/FIDStyles/style0/A wooden dock with metal railings and benches..jpg,A wooden dock with metal railings and benches.
../../datasets/FIDStyles/style0/Coffee on a display next to a laptop.jpg,Coffee on a display next to a laptop
../../datasets/FIDStyles/style0/Tennis players are playing on a bright blue court..jpg,Tennis players are playing on a bright blue court.
../../datasets/FIDStyles/style0/Two people sit on a bench by the water on a sunny day..jpg,Two people sit on a bench by the water on a sunny day.
../../datasets/FIDStyles/style0/A roller suitcase opened up and propped open..jpg,A roller suitcase opened up and propped open.
../../datasets/FIDStyles/style0/The boy is smiling in his shirt and tie..jpg,The boy is smiling in his shirt and tie.
../../datasets/FIDStyles/style0/A laptop on a person's legs on a couch..jpg,A laptop on a person's legs on a couch.
../../datasets/FIDStyles/style0/There is a painting on a wall behind a fence..jpg,There is a painting on a wall behind a fence.
../../datasets/FIDStyles/style0/Two skiers going downhill while two other skiers stand and watch them..jpg,Two skiers going downhill while two other skiers stand and watch them.
../../datasets/FIDStyles/style0/Couple of young elephants playing in the water.jpg,Couple of young elephants playing in the water
../../datasets/FIDStyles/style0/Man in standing near a tree holding two umbrellas..jpg,Man in standing near a tree holding two umbrellas.
../../datasets/FIDStyles/style0/a baseball player is swinging a bat on a field.jpg,a baseball player is swinging a bat on a field
../../datasets/FIDStyles/style0/A stop sign with a street light in the background..jpg,A stop sign with a street light in the background.
