image,text
../../datasets/OldStyles/style5/A large desk has a two computer monitors on it and a keyboard and mouse while a cat lays in the corner.jpg,A large desk has a two computer monitors on it and a keyboard and mouse while a cat lays in the corner
../../datasets/OldStyles/style5/A person in a wet suite surfing in rough waters.jpg,A person in a wet suite surfing in rough waters
../../datasets/OldStyles/style5/A healthy meal is packaged with meat and vegetables.jpg,A healthy meal is packaged with meat and vegetables
../../datasets/OldStyles/style5/A large white bird sticks its head in an oven.jpg,A large white bird sticks its head in an oven
../../datasets/OldStyles/style5/A cramped bathroom with a yellow bowl on the back of the tank.jpg,A cramped bathroom with a yellow bowl on the back of the tank
../../datasets/OldStyles/style5/a bunch of fridges designed to look like stonehenge.jpg,a bunch of fridges designed to look like stonehenge
../../datasets/OldStyles/style5/A bowl of food including two hard boiled eggs cut in half.jpg,A bowl of food including two hard boiled eggs cut in half
../../datasets/OldStyles/style5/A train engine carrying carts down a track.jpg,A train engine carrying carts down a track
../../datasets/OldStyles/style5/a couple of women play a game of soccer.jpg,a couple of women play a game of soccer
../../datasets/OldStyles/style5/A street sign lays next to a house.jpg,A street sign lays next to a house
../../datasets/OldStyles/style5/a sheep dog watching a group of sheep in a field.jpg,a sheep dog watching a group of sheep in a field
../../datasets/OldStyles/style5/A train is coming down the tracks into the station.jpg,A train is coming down the tracks into the station
../../datasets/OldStyles/style5/Two large boats floating on top of a river.jpg,Two large boats floating on top of a river
../../datasets/OldStyles/style5/A baseball player wearing a uniform while standing next to home plate.jpg,A baseball player wearing a uniform while standing next to home plate
../../datasets/OldStyles/style5/an owl sits atop a roof with the blue sky serves as a background.jpg,an owl sits atop a roof with the blue sky serves as a background
../../datasets/OldStyles/style5/Several different items of various kinds of food.jpg,Several different items of various kinds of food
../../datasets/OldStyles/style5/Two toothbrushes a toothpaste are in a container.jpg,Two toothbrushes a toothpaste are in a container
../../datasets/OldStyles/style5/A group of three people holding ski poles on top of a ski slope.jpg,A group of three people holding ski poles on top of a ski slope
../../datasets/OldStyles/style5/A bear and a dog sitting on a hill side.jpg,A bear and a dog sitting on a hill side
../../datasets/OldStyles/style5/The table has most of the items needed to keep in the repair shoulder bag.jpg,The table has most of the items needed to keep in the repair shoulder bag
../../datasets/OldStyles/style5/A small laptop is shown sitting on the counter.jpg,A small laptop is shown sitting on the counter
../../datasets/OldStyles/style5/A baseball player is swinging the bat at a low angle.jpg,A baseball player is swinging the bat at a low angle
../../datasets/OldStyles/style5/A person sitting on a horse on top of a grassy hill.jpg,A person sitting on a horse on top of a grassy hill
../../datasets/OldStyles/style5/A small young child smiles over a plate of pizza.jpg,A small young child smiles over a plate of pizza
