image,text
../../datasets/OldStyles/style6/A bird amongst water and reeds on a sunny day.jpg,A bird amongst water and reeds on a sunny day
../../datasets/OldStyles/style6/a woman standing at a table with a lot of papers and place mats on it.jpg,a woman standing at a table with a lot of papers and place mats on it
../../datasets/OldStyles/style6/A baggage handler is seen near several carts of luggage.jpg,A baggage handler is seen near several carts of luggage
../../datasets/OldStyles/style6/A bowl of food including two hard boiled eggs cut in half.jpg,A bowl of food including two hard boiled eggs cut in half
../../datasets/OldStyles/style6/Ladies serving up blue trays of cafeteria food.jpg,Ladies serving up blue trays of cafeteria food
../../datasets/OldStyles/style6/Woman in glasses looks over her shoulder while playing the Wii.jpg,Woman in glasses looks over her shoulder while playing the Wii
../../datasets/OldStyles/style6/Panini with many different ingredients with bowl of soup.jpg,Panini with many different ingredients with bowl of soup
../../datasets/OldStyles/style6/The skier leans to the right while navigating the slope.jpg,The skier leans to the right while navigating the slope
../../datasets/OldStyles/style6/Double take of two people eating a serving of pizza in restaurant.jpg,Double take of two people eating a serving of pizza in restaurant
../../datasets/OldStyles/style6/A person sewing a nose to a teddy bear.jpg,A person sewing a nose to a teddy bear
../../datasets/OldStyles/style6/A person wearing protective gear and shades on a skateboard.jpg,A person wearing protective gear and shades on a skateboard
../../datasets/OldStyles/style6/The table is set with red wine and a tempting frosted chocolate cake.jpg,The table is set with red wine and a tempting frosted chocolate cake
../../datasets/OldStyles/style6/A woman wearing a rain coat and holding an umbrella.jpg,A woman wearing a rain coat and holding an umbrella
../../datasets/OldStyles/style6/a man that is eating some kind of food.jpg,a man that is eating some kind of food
"../../datasets/OldStyles/style6/A giraffe in the wild, stand in tall grass.jpg","A giraffe in the wild, stand in tall grass"
../../datasets/OldStyles/style6/a large table with many plates of food.jpg,a large table with many plates of food
"../../datasets/OldStyles/style6/A bag sitting on a beg, with a horse stitched on it.jpg","A bag sitting on a beg, with a horse stitched on it"
"../../datasets/OldStyles/style6/Happy dog lying on the ground, posed for a picture.jpg","Happy dog lying on the ground, posed for a picture"
